x,y
140.0000000000000, 0
139.07459867799813, 0.39473684210526727
136.95939565627953, 0.39473684210526727
131.80358829084042, 0.39473684210526727
126.11898016997168, 0.9210526315789593
123.21057601510861, 1.1842105263157947
120.0377714825307, 1.7105263157894797
115.41076487252127, 2.500000000000007
110.91595845136925, 3.6842105263157947
103.38054768649673, 7.10526315789474
100.20774315391881, 9.21052631578948
96.90273843248349, 11.710526315789473
94.78753541076489, 13.552631578947377
93.33333333333334, 14.736842105263165
91.48253068932956, 16.052631578947377
89.23512747875355, 17.10526315789474
85.13692162417374, 18.026315789473692
79.32011331444761, 18.684210526315795
73.37110481586402, 18.947368421052637
65.43909348441926, 19.078947368421055
57.50708215297451, 18.684210526315795
49.442870632672346, 18.026315789473692
41.510859301227576, 17.10526315789474
35.56185080264401, 16.052631578947377
29.612842304060436, 14.868421052631582
23.53163361661946, 13.421052631578952
17.582625118035885, 11.578947368421055
12.691218130311618, 9.60526315789474
9.386213408876301, 8.15789473684211
6.47780925401322, 6.578947368421055
4.0982058545797955, 5.000000000000007
1.9830028328611888, 3.2894736842105345
0.7932011331444748, 1.8421052631579045
0, 0
0.5288007554296499, -1.1842105263157876
1.454202077431539, -1.973684210526315
3.040604343720492, -2.89473684210526
5.42020774315392, -3.8157894736842053
7.535410764872523, -4.605263157894733
11.237016052880076, -5.39473684210526
15.203021718602457, -6.1842105263157805
21.81303116147309, -7.23684210526315
28.158640226628897, -7.763157894736835
35.82625118035884, -8.421052631578945
41.246458923512755, -8.815789473684205
46.137865911237014, -8.94736842105263
51.690273843248356, -9.342105263157883
54.33427762039661, -9.342105263157883
60.01888574126534, -9.473684210526315
66.49669499527857, -9.473684210526315
70.9915014164306, -9.342105263157883
79.32011331444761, -8.94736842105263
84.07932011331445, -8.684210526315788
90.02832861189802, -8.157894736842103
94.52313503305004, -7.631578947368411
97.0349386213409, -7.368421052631575
100.86874409820587, -6.84210526315789
106.15675165250235, -6.1842105263157805
110.25495750708217, -5.526315789473678
114.74976392823419, -4.73684210526315
119.37677053824365, -4.078947368421048
123.60717658168085, -3.2894736842105203
127.44098205854581, -2.6315789473684177
130.61378659112373, -2.1052631578947327
133.3899905571294, -1.7105263157894726
136.43059490084988, -1.1842105263157876
139.20679886685556, -0.7894736842105203
140, 0