u,y
0.00000000e+00, 0.00000000e+00
6.82740211e-02, 1.00100096e-05
1.35791868e-01, 2.00200193e-05
2.03134179e-01, 3.00300289e-05
2.70476609e-01, 4.00400386e-05
3.37819040e-01, 5.00500464e-05
4.05161619e-01, 6.00600542e-05
4.72311467e-01, 7.00700621e-05
5.39579034e-01, 8.00800699e-05
6.07179403e-01, 9.00900777e-05
6.74779654e-01, 1.00100086e-04
7.42379129e-01, 1.10110093e-04
8.09978604e-01, 1.20120101e-04
8.74244213e-01, 1.30130109e-04
9.38344598e-01, 1.40140124e-04
1.00267816e+00, 1.50150139e-04
1.06711292e+00, 1.60160154e-04
1.13154793e+00, 1.70170169e-04
1.19598305e+00, 1.80180185e-04
1.25345230e+00, 1.90190200e-04
1.31011224e+00, 2.00200215e-04
1.36682749e+00, 2.10210230e-04
1.42429435e+00, 2.20220245e-04
1.48176146e+00, 2.30230260e-04
1.53922844e+00, 2.40240275e-04
1.59036446e+00, 2.50250276e-04
1.63997793e+00, 2.60260276e-04
1.68959117e+00, 2.70270277e-04
1.73686159e+00, 2.80280277e-04
1.78221333e+00, 2.90290278e-04
1.82712340e+00, 3.00300278e-04
1.86237144e+00, 3.10310279e-04
1.89761984e+00, 3.20320280e-04
1.93286812e+00, 3.30330280e-04
1.96811604e+00, 3.40340281e-04
2.00254774e+00, 3.50350281e-04
2.02955747e+00, 3.60360282e-04
2.04670143e+00, 3.70370282e-04
2.06384516e+00, 3.80380283e-04
2.08148909e+00, 3.90390283e-04
2.09923935e+00, 4.00400284e-04
2.11699009e+00, 4.10410285e-04
2.12989831e+00, 4.20420285e-04
2.13513231e+00, 4.30430286e-04
2.13630557e+00, 4.40440286e-04
2.13747883e+00, 4.50450287e-04
2.13865209e+00, 4.60460287e-04
2.13982511e+00, 4.70470288e-04
2.13562965e+00, 4.80480288e-04
2.12646461e+00, 4.90490289e-04
2.11729980e+00, 5.00500319e-04
2.10813475e+00, 5.10510348e-04
2.09696484e+00, 5.20520378e-04
2.08353138e+00, 5.30530408e-04
2.06702733e+00, 5.40540437e-04
2.04287076e+00, 5.50550467e-04
2.01871395e+00, 5.60560497e-04
1.99455714e+00, 5.70570526e-04
1.97107387e+00, 5.80580556e-04
1.94864988e+00, 5.90590585e-04
1.92548406e+00, 6.00600615e-04
1.89671290e+00, 6.10610645e-04
1.86636019e+00, 6.20620674e-04
1.83566928e+00, 6.30630704e-04
1.80497861e+00, 6.40640734e-04
1.77428818e+00, 6.50650763e-04
1.74359715e+00, 6.60660793e-04
1.71284330e+00, 6.70670823e-04
1.67985845e+00, 6.80680852e-04
1.64687359e+00, 6.90690882e-04
1.61388874e+00, 7.00700912e-04
1.58090425e+00, 7.10710941e-04
1.54769230e+00, 7.20720971e-04
1.51292181e+00, 7.30731001e-04
1.47815108e+00, 7.40741030e-04
1.44338012e+00, 7.50751060e-04
1.40956914e+00, 7.60761090e-04
1.37584531e+00, 7.70771119e-04
1.34212148e+00, 7.80781149e-04
1.30839753e+00, 7.90791179e-04
1.27467334e+00, 8.00801208e-04
1.24094939e+00, 8.10811238e-04
1.20722532e+00, 8.20821268e-04
1.17444348e+00, 8.30831297e-04
1.14198196e+00, 8.40841327e-04
1.11122215e+00, 8.50851357e-04
1.08074391e+00, 8.60861386e-04
1.05026591e+00, 8.70871416e-04
1.01978791e+00, 8.80881445e-04
9.89310145e-01, 8.90891475e-04
9.58832264e-01, 9.00901505e-04
9.28354383e-01, 9.10911534e-04
8.97876620e-01, 9.20921564e-04
8.68854642e-01, 9.30931594e-04
8.42459023e-01, 9.40941623e-04
8.17439675e-01, 9.50951653e-04
7.92420626e-01, 9.60961683e-04
7.67401218e-01, 9.70971712e-04
7.42382050e-01, 9.80981742e-04
7.17363000e-01, 9.90991713e-04
6.92341685e-01, 1.00100168e-03
6.67307854e-01, 1.01101166e-03
6.42273962e-01, 1.02102163e-03
6.19334936e-01, 1.03103160e-03
6.00985527e-01, 1.04104157e-03
5.82691669e-01, 1.05105154e-03
5.64397991e-01, 1.06106151e-03
5.46104252e-01, 1.07107149e-03
5.27810395e-01, 1.08108146e-03
5.09516776e-01, 1.09109143e-03
4.91223097e-01, 1.10110140e-03
4.72929537e-01, 1.11111137e-03
4.54636037e-01, 1.12112134e-03
4.38701451e-01, 1.13113131e-03
4.23881203e-01, 1.14114129e-03
4.09061193e-01, 1.15115126e-03
3.94241214e-01, 1.16116123e-03
3.80272210e-01, 1.17117120e-03
3.66808385e-01, 1.18118117e-03
3.53344619e-01, 1.19119114e-03
3.39880884e-01, 1.20120111e-03
3.26416999e-01, 1.21121109e-03
3.12953055e-01, 1.22122106e-03
3.01976323e-01, 1.23123103e-03
2.92243868e-01, 1.24124100e-03
2.82511413e-01, 1.25125097e-03
2.72778779e-01, 1.26126094e-03
2.63046086e-01, 1.27127091e-03
2.53313392e-01, 1.28128089e-03
2.43580699e-01, 1.29129086e-03
2.33848006e-01, 1.30130083e-03
2.24115252e-01, 1.31131080e-03
2.14382529e-01, 1.32132077e-03
2.05392048e-01, 1.33133074e-03
1.98347479e-01, 1.34134071e-03
1.91062868e-01, 1.35135069e-03
1.83778256e-01, 1.36136066e-03
1.76493660e-01, 1.37137063e-03
1.69209063e-01, 1.38138060e-03
1.61924422e-01, 1.39139057e-03
1.54639810e-01, 1.40140054e-03
1.47355169e-01, 1.41141051e-03
1.40070528e-01, 1.42142049e-03
1.33504629e-01, 1.43143046e-03
1.28365979e-01, 1.44144043e-03
1.23227321e-01, 1.45145040e-03
1.18088685e-01, 1.46146037e-03
1.12950057e-01, 1.47147034e-03
1.08199403e-01, 1.48148031e-03
1.03563324e-01, 1.49149029e-03
9.89272445e-02, 1.50150026e-03
9.42911878e-02, 1.51151023e-03
8.96551460e-02, 1.52152020e-03
8.50191191e-02, 1.53153017e-03
8.12143385e-02, 1.54154014e-03
7.78796524e-02, 1.55155011e-03
7.45449811e-02, 1.56156009e-03
7.12103099e-02, 1.57157006e-03
6.78756386e-02, 1.58158003e-03
6.45409524e-02, 1.59159000e-03
6.12062626e-02, 1.60159997e-03
5.78715801e-02, 1.61160994e-03
5.45368902e-02, 1.62161991e-03
5.13108224e-02, 1.63162989e-03
4.83164527e-02, 1.64163986e-03
4.54475991e-02, 1.65164983e-03
4.33622487e-02, 1.66165980e-03
4.12769243e-02, 1.67166977e-03
3.91916037e-02, 1.68167974e-03
3.71062867e-02, 1.69168971e-03
3.50209661e-02, 1.70169969e-03
3.29356566e-02, 1.71170966e-03
3.08503322e-02, 1.72171963e-03
2.87126862e-02, 1.73172960e-03
2.65609249e-02, 1.74173957e-03
2.44091712e-02, 1.75174954e-03
2.22574174e-02, 1.76175951e-03
2.01056693e-02, 1.77176949e-03
1.85411647e-02, 1.78177946e-03
1.71271302e-02, 1.79178943e-03
1.58474967e-02, 1.80179940e-03
1.45678632e-02, 1.81180937e-03
1.32882278e-02, 1.82181934e-03
1.20085962e-02, 1.83182932e-03
1.07289609e-02, 1.84183929e-03
9.44932830e-03, 1.85184926e-03
8.16969294e-03, 1.86185923e-03
6.89005386e-03, 1.87186920e-03
5.61041757e-03, 1.88187917e-03
4.33078129e-03, 1.89188914e-03
3.05114407e-03, 1.90189912e-03
2.07738578e-03, 1.91190909e-03
1.14334817e-03, 1.92191906e-03
2.09303689e-04, 1.93192903e-03
-7.24744401e-04, 1.94193900e-03
-1.65879272e-03, 1.95194897e-03
-2.43530632e-03, 1.96195906e-03
-3.19339102e-03, 1.97196915e-03
-3.95635841e-03, 1.98197924e-03
-4.70956042e-03, 1.99198932e-03
-5.46764163e-03, 2.00199941e-03
-6.22571819e-03, 2.01200950e-03
-6.98379427e-03, 2.02201959e-03
-7.74186943e-03, 2.03202968e-03
-8.41420796e-03, 2.04203976e-03
-8.94491468e-03, 2.05204985e-03
-9.47562139e-03, 2.06205994e-03
-1.00063272e-02, 2.07207003e-03
-1.05370320e-02, 2.08208011e-03
-1.10677369e-02, 2.09209020e-03
-1.15984399e-02, 2.10210029e-03
-1.21203633e-02, 2.11211038e-03
-1.25419386e-02, 2.12212047e-03
-1.29635129e-02, 2.13213055e-03
-1.33850873e-02, 2.14214064e-03
-1.38066597e-02, 2.15215073e-03
-1.42282341e-02, 2.16216082e-03
-1.46498140e-02, 2.17217091e-03
-1.50713902e-02, 2.18218099e-03
-1.54325170e-02, 2.19219108e-03
-1.57189518e-02, 2.20220117e-03
-1.60053875e-02, 2.21221126e-03
-1.62918232e-02, 2.22222134e-03
-1.65782589e-02, 2.23223143e-03
-1.68646891e-02, 2.24224152e-03
-1.71514340e-02, 2.25225161e-03
-1.74375549e-02, 2.26226170e-03
-1.77239887e-02, 2.27227178e-03
-1.80104189e-02, 2.28228187e-03
-1.82318855e-02, 2.29229196e-03
-1.84478611e-02, 2.30230205e-03
-1.86638329e-02, 2.31231214e-03
-1.88798048e-02, 2.32232222e-03
-1.90957785e-02, 2.33233231e-03
-1.93117484e-02, 2.34234240e-03
-1.94738433e-02, 2.35235249e-03
-1.96182504e-02, 2.36236257e-03
-1.97626594e-02, 2.37237266e-03
-1.99070703e-02, 2.38238275e-03
-2.00514793e-02, 2.39239284e-03
-2.01958865e-02, 2.40240293e-03
-2.03402974e-02, 2.41241301e-03
-2.04847101e-02, 2.42242310e-03
-2.06291154e-02, 2.43243319e-03
-2.07735244e-02, 2.44244328e-03
-2.09179334e-02, 2.45245337e-03
-2.10623425e-02, 2.46246345e-03
-2.12067515e-02, 2.47247354e-03
-2.13190913e-02, 2.48248363e-03
-2.14255340e-02, 2.49249372e-03
-2.15319786e-02, 2.50250380e-03
-2.15999093e-02, 2.51251389e-03
-2.16635689e-02, 2.52252398e-03
-2.17272229e-02, 2.53253407e-03
-2.17908788e-02, 2.54254416e-03
-2.18545385e-02, 2.55255424e-03
-2.19181944e-02, 2.56256433e-03
-2.19818540e-02, 2.57257442e-03
-2.20455062e-02, 2.58258451e-03
-2.21112091e-02, 2.59259460e-03
-2.21778043e-02, 2.60260468e-03
-2.22443976e-02, 2.61261477e-03
-2.23109871e-02, 2.62262486e-03
-2.23775841e-02, 2.63263495e-03
-2.24441774e-02, 2.64264503e-03
-2.25107707e-02, 2.65265512e-03
-2.25623641e-02, 2.66266521e-03
-2.25953013e-02, 2.67267530e-03
-2.26282384e-02, 2.68268539e-03
-2.26496700e-02, 2.69269547e-03
-2.26661228e-02, 2.70270556e-03
-2.26825774e-02, 2.71271565e-03
-2.26990283e-02, 2.72272574e-03
-2.27154829e-02, 2.73273583e-03
-2.27319375e-02, 2.74274591e-03
-2.27483902e-02, 2.75275600e-03
-2.27648430e-02, 2.76276609e-03
-2.27813013e-02, 2.77277618e-03
-2.27977559e-02, 2.78278627e-03
-2.28142105e-02, 2.79279635e-03
-2.28306614e-02, 2.80280644e-03
-2.28471160e-02, 2.81281653e-03
-2.28635706e-02, 2.82282662e-03
-2.28800233e-02, 2.83283670e-03
-2.28964798e-02, 2.84284679e-03
-2.29010042e-02, 2.85285688e-03
-2.29019038e-02, 2.86286697e-03
-2.29028016e-02, 2.87287706e-03
-2.29037069e-02, 2.88288714e-03
-2.29046065e-02, 2.89289723e-03
-2.29055081e-02, 2.90290732e-03
-2.29064077e-02, 2.91291741e-03
-2.29073092e-02, 2.92292750e-03
-2.28999555e-02, 2.93293758e-03
-2.28917338e-02, 2.94294767e-03
-2.28835084e-02, 2.95295776e-03
-2.28752866e-02, 2.96296785e-03
-2.28670649e-02, 2.97297793e-03
-2.28588395e-02, 2.98298802e-03
-2.28506178e-02, 2.99299811e-03
-2.28423961e-02, 3.00300820e-03
-2.28341725e-02, 3.01301829e-03
-2.28259508e-02, 3.02302837e-03
-2.28170156e-02, 3.03303846e-03
-2.28010304e-02, 3.04304855e-03
-2.27850489e-02, 3.05305864e-03
-2.27690656e-02, 3.06306873e-03
-2.27530822e-02, 3.07307881e-03
-2.27371026e-02, 3.08308890e-03
-2.27211211e-02, 3.09309899e-03
-2.27051359e-02, 3.10310908e-03
-2.26891562e-02, 3.11311916e-03
-2.26731710e-02, 3.12312925e-03
-2.26571895e-02, 3.13313934e-03
-2.26412043e-02, 3.14314943e-03
-2.26252228e-02, 3.15315952e-03
-2.26092413e-02, 3.16316960e-03
-2.25920398e-02, 3.17317969e-03
-2.25728378e-02, 3.18318978e-03
-2.25536320e-02, 3.19319987e-03
-2.25344300e-02, 3.20320996e-03
-2.25152299e-02, 3.21322004e-03
-2.24960223e-02, 3.22323013e-03
-2.24768221e-02, 3.23324022e-03
-2.24546064e-02, 3.24325031e-03
-2.24323887e-02, 3.25326039e-03
-2.24101730e-02, 3.26327048e-03
-2.23879553e-02, 3.27328057e-03
-2.23657377e-02, 3.28329066e-03
-2.23435201e-02, 3.29330075e-03
-2.23213062e-02, 3.30331083e-03
-2.22990904e-02, 3.31332092e-03
-2.22768709e-02, 3.32333101e-03
-2.22546551e-02, 3.33334110e-03
-2.22324394e-02, 3.34335119e-03
-2.22102217e-02, 3.35336127e-03
-2.21880060e-02, 3.36337136e-03
-2.21657902e-02, 3.37338145e-03
-2.21435763e-02, 3.38339154e-03
-2.21213605e-02, 3.39340162e-03
-2.20991448e-02, 3.40341171e-03
-2.20769271e-02, 3.41342180e-03
-2.20547132e-02, 3.42343189e-03
-2.20324993e-02, 3.43344198e-03
-2.20102798e-02, 3.44345206e-03
-2.19842829e-02, 3.45346215e-03
-2.19566226e-02, 3.46347224e-03
-2.19281651e-02, 3.47348233e-03
-2.18997058e-02, 3.48349242e-03
-2.18712445e-02, 3.49350250e-03
-2.18427889e-02, 3.50351259e-03
-2.18143314e-02, 3.51352268e-03
-2.17858702e-02, 3.52353277e-03
-2.17574127e-02, 3.53354285e-03
-2.17289552e-02, 3.54355294e-03
-2.17004977e-02, 3.55356303e-03
-2.16720439e-02, 3.56357312e-03
-2.16435827e-02, 3.57358321e-03
-2.16151234e-02, 3.58359329e-03
-2.15866659e-02, 3.59360338e-03
-2.15582065e-02, 3.60361347e-03
-2.15297453e-02, 3.61362356e-03
-2.15012897e-02, 3.62363365e-03
-2.14729272e-02, 3.63364373e-03
-2.14454643e-02, 3.64365382e-03
-2.14179978e-02, 3.65366391e-03
-2.13905349e-02, 3.66367400e-03
-2.13630684e-02, 3.67368408e-03
-2.13355999e-02, 3.68369417e-03
-2.13071592e-02, 3.69370426e-03
-2.12786607e-02, 3.70371435e-03
-2.12501641e-02, 3.71372444e-03
-2.12216675e-02, 3.72373452e-03
-2.11931691e-02, 3.73374461e-03
-2.11646743e-02, 3.74375470e-03
-2.11361758e-02, 3.75376479e-03
-2.11076830e-02, 3.76377488e-03
-2.10791882e-02, 3.77378496e-03
-2.10506953e-02, 3.78379505e-03
-2.10221913e-02, 3.79380514e-03
-2.09937021e-02, 3.80381523e-03
-2.09651999e-02, 3.81382531e-03
-2.09368337e-02, 3.82383540e-03
-2.09089089e-02, 3.83384549e-03
-2.08809860e-02, 3.84385558e-03
-2.08530668e-02, 3.85386567e-03
-2.08251402e-02, 3.86387575e-03
-2.07972191e-02, 3.87388584e-03
-2.07692962e-02, 3.88389593e-03
-2.07413770e-02, 3.89390602e-03
-2.07134522e-02, 3.90391611e-03
-2.06857100e-02, 3.91392596e-03
-2.06585918e-02, 3.92393582e-03
-2.06314698e-02, 3.93394567e-03
-2.06043459e-02, 3.94395553e-03
-2.05772240e-02, 3.95396538e-03
-2.05501039e-02, 3.96397524e-03
-2.05229763e-02, 3.97398509e-03
-2.04958562e-02, 3.98399495e-03
-2.04687361e-02, 3.99400480e-03
-2.04416141e-02, 4.00401466e-03
-2.04144921e-02, 4.01402451e-03
-2.03870852e-02, 4.02403437e-03
-2.03609616e-02, 4.03404422e-03
-2.03356147e-02, 4.04405408e-03
-2.03102715e-02, 4.05406393e-03
-2.02849265e-02, 4.06407379e-03
-2.02595834e-02, 4.07408364e-03
-2.02342365e-02, 4.08409350e-03
-2.02088915e-02, 4.09410335e-03
-2.01835483e-02, 4.10411321e-03
-2.01582033e-02, 4.11412306e-03
-2.01328583e-02, 4.12413292e-03
-2.01075152e-02, 4.13414277e-03
-2.00804416e-02, 4.14415263e-03
-2.00532079e-02, 4.15416248e-03
-2.00259760e-02, 4.16417234e-03
-1.99987423e-02, 4.17418219e-03
-1.99715085e-02, 4.18419205e-03
-1.99442785e-02, 4.19420190e-03
-1.99170448e-02, 4.20421176e-03
-1.98898166e-02, 4.21422161e-03
-1.98625829e-02, 4.22423147e-03
-1.98353473e-02, 4.23424132e-03
-1.98081173e-02, 4.24425118e-03
-1.97802242e-02, 4.25426103e-03
-1.97520740e-02, 4.26427089e-03
-1.97239239e-02, 4.27428074e-03
-1.96957737e-02, 4.28429060e-03
-1.96676254e-02, 4.29430045e-03
-1.96394771e-02, 4.30431031e-03
-1.96117312e-02, 4.31432016e-03
-1.95854791e-02, 4.32433002e-03
-1.95592307e-02, 4.33433987e-03
-1.95329748e-02, 4.34434973e-03
-1.95067208e-02, 4.35435958e-03
-1.94804706e-02, 4.36436944e-03
-1.94542166e-02, 4.37437929e-03
-1.94279663e-02, 4.38438915e-03
-1.94017142e-02, 4.39439900e-03
-1.93754621e-02, 4.40440886e-03
-1.93492137e-02, 4.41441871e-03
-1.93229616e-02, 4.42442857e-03
-1.92967094e-02, 4.43443842e-03
-1.92697644e-02, 4.44444828e-03
-1.92426462e-02, 4.45445813e-03
-1.92155316e-02, 4.46446799e-03
-1.91884171e-02, 4.47447784e-03
-1.91612989e-02, 4.48448770e-03
-1.91341825e-02, 4.49449755e-03
-1.91070735e-02, 4.50450741e-03
-1.90804377e-02, 4.51451726e-03
-1.90540589e-02, 4.52452712e-03
-1.90276820e-02, 4.53453697e-03
-1.90013051e-02, 4.54454683e-03
-1.89747103e-02, 4.55455668e-03
-1.89469010e-02, 4.56456654e-03
-1.89190917e-02, 4.57457639e-03
-1.88912824e-02, 4.58458625e-03
-1.88634712e-02, 4.59459610e-03
-1.88356601e-02, 4.60460596e-03
-1.88078508e-02, 4.61461581e-03
-1.87800415e-02, 4.62462567e-03
-1.87522322e-02, 4.63463552e-03
-1.87244173e-02, 4.64464538e-03
-1.86966062e-02, 4.65465523e-03
-1.86687969e-02, 4.66466509e-03
-1.86409876e-02, 4.67467494e-03
-1.86131764e-02, 4.68468480e-03
-1.85854696e-02, 4.69469465e-03
-1.85573958e-02, 4.70470451e-03
-1.85294226e-02, 4.71471436e-03
-1.85014512e-02, 4.72472422e-03
-1.84734780e-02, 4.73473407e-03
-1.84455086e-02, 4.74474393e-03
-1.84175391e-02, 4.75475378e-03
-1.83900427e-02, 4.76476364e-03
-1.83615908e-02, 4.77477349e-03
-1.83336195e-02, 4.78478335e-03
-1.83056481e-02, 4.79479320e-03
-1.82776768e-02, 4.80480306e-03
-1.82497054e-02, 4.81481291e-03
-1.82217360e-02, 4.82482277e-03
-1.81937572e-02, 4.83483262e-03
-1.81657895e-02, 4.84484248e-03
-1.81378182e-02, 4.85485233e-03
-1.81098469e-02, 4.86486219e-03
-1.80818755e-02, 4.87487204e-03
-1.80539656e-02, 4.88488190e-03
-1.80285461e-02, 4.89489175e-03
-1.80040747e-02, 4.90490161e-03
-1.79796070e-02, 4.91491146e-03
-1.79551374e-02, 4.92492132e-03
-1.79306697e-02, 4.93493117e-03
-1.79062001e-02, 4.94494103e-03
-1.78817324e-02, 4.95495088e-03
-1.78572629e-02, 4.96496074e-03
-1.78327952e-02, 4.97497059e-03
-1.78083256e-02, 4.98498045e-03
-1.77838560e-02, 4.99499030e-03
-1.77593865e-02, 5.00500016e-03
-1.77349187e-02, 5.01501001e-03
-1.77104510e-02, 5.02501987e-03
