,VLM1 -   -1.0Â°-15.00m/s, , 
    -1.483333,             0, , 
        -1.45,   0.007852863, , 
    -1.416667,    0.02521452, , 
    -1.372222,    0.06018521, , 
    -1.316667,     0.1450657, , 
    -1.261111,      0.276862, , 
    -1.205556,     0.4598817, , 
        -1.15,     0.6977613, , 
    -1.094444,      0.993744, , 
    -1.038889,      1.350809, , 
   -0.9833333,      1.771739, , 
   -0.9277778,      2.259156, , 
   -0.8763158,      2.774537, , 
   -0.8289474,      3.300513, , 
   -0.7815789,      3.879233, , 
   -0.7342105,       4.51179, , 
   -0.6868421,      5.199228, , 
   -0.6394737,      5.942549, , 
   -0.5921053,      6.742723, , 
   -0.5447368,      7.600686, , 
   -0.4973684,      8.517345, , 
        -0.45,      9.493578, , 
   -0.4026316,      10.53023, , 
   -0.3552632,      11.62813, , 
   -0.3078947,      12.78805, , 
   -0.2605263,      14.01075, , 
   -0.2131579,      15.29694, , 
   -0.1657895,      16.64727, , 
   -0.1184211,      18.06237, , 
  -0.07105263,      19.54276, , 
  -0.02368421,      21.08889, , 
   0.02368421,      21.08889, , 
   0.07105263,      19.54276, , 
    0.1184211,      18.06237, , 
    0.1657895,      16.64727, , 
    0.2131579,      15.29694, , 
    0.2605263,      14.01075, , 
    0.3078947,      12.78805, , 
    0.3552632,      11.62813, , 
    0.4026316,      10.53023, , 
         0.45,      9.493578, , 
    0.4973684,      8.517345, , 
    0.5447368,      7.600686, , 
    0.5921053,      6.742723, , 
    0.6394737,      5.942549, , 
    0.6868421,      5.199228, , 
    0.7342105,       4.51179, , 
    0.7815789,      3.879233, , 
    0.8289474,      3.300512, , 
    0.8763158,      2.774537, , 
    0.9277778,      2.259156, , 
    0.9833333,      1.771739, , 
     1.038889,      1.350809, , 
     1.094444,      0.993744, , 
         1.15,     0.6977613, , 
     1.205556,     0.4598817, , 
     1.261111,      0.276862, , 
     1.316667,     0.1450657, , 
     1.372222,    0.06018521, , 
     1.416667,    0.02521452, , 
         1.45,   0.007852863, , 
     1.483333,             0, , 

